year,LineCode,airport,gdp
2011-01-01,82.0,PHX,3625621.0
2011-01-01,83.0,PHX,20545058.0
2011-01-01,,PHX,
2011-01-01,87.0,PHX,3153223.0
2011-01-01,88.0,PHX,27842707.0
2011-01-01,89.0,PHX,9066205.0
2011-01-01,90.0,PHX,23364856.0
2011-01-01,91.0,PHX,27950808.0
2011-01-01,92.0,PHX,133950768.0
2011-01-01,1.0,SFO,331268308.0
2011-01-01,2.0,SFO,297602363.0
2011-01-01,3.0,SFO,
2011-01-01,6.0,SFO,558635.0
2011-01-01,10.0,SFO,3231677.0
2011-01-01,11.0,SFO,10838449.0
2011-01-01,12.0,SFO,35747422.0
2011-01-01,13.0,SFO,11929222.0
2011-01-01,25.0,SFO,23818200.0
2011-01-01,34.0,SFO,15689779.0
2011-01-01,35.0,SFO,16632803.0
2011-01-01,36.0,SFO,
2011-01-01,45.0,SFO,22952844.0
2011-01-01,50.0,SFO,72304544.0
2011-01-01,51.0,SFO,23523650.0
2011-01-01,56.0,SFO,48780894.0
2011-01-01,59.0,SFO,66157569.0
2011-01-01,60.0,SFO,48262844.0
2011-01-01,64.0,SFO,7986156.0
2011-01-01,65.0,SFO,9908569.0
2011-01-01,68.0,SFO,24518817.0
2011-01-01,69.0,SFO,3732047.0
2011-01-01,70.0,SFO,20786770.0
2011-01-01,75.0,SFO,13355438.0
2011-01-01,76.0,SFO,4318740.0
2011-01-01,79.0,SFO,9036699.0
2011-01-01,82.0,SFO,6491256.0
2011-01-01,83.0,SFO,33665945.0
2011-01-01,,SFO,
2011-01-01,87.0,SFO,
2011-01-01,88.0,SFO,32322581.0
2011-01-01,89.0,SFO,
2011-01-01,90.0,SFO,58700266.0
2011-01-01,91.0,SFO,
2011-01-01,92.0,SFO,
2011-01-01,1.0,SEA,251376955.0
2011-01-01,2.0,SEA,222306802.0
2011-01-01,3.0,SEA,567037.0
2011-01-01,6.0,SEA,151400.0
2011-01-01,10.0,SEA,328203.0
2011-01-01,11.0,SEA,6296481.0
2011-01-01,12.0,SEA,41560125.0
2011-01-01,13.0,SEA,36794568.0
2011-01-01,25.0,SEA,4765558.0
2011-01-01,34.0,SEA,15214285.0
2011-01-01,35.0,SEA,16692018.0
2011-01-01,36.0,SEA,7870606.0
2011-01-01,45.0,SEA,34665613.0
2011-01-01,50.0,SEA,39986992.0
2011-01-01,51.0,SEA,10002082.0
2011-01-01,56.0,SEA,29984910.0
2011-01-01,59.0,SEA,29722309.0
2011-01-01,60.0,SEA,19486086.0
2011-01-01,64.0,SEA,3493353.0
2011-01-01,65.0,SEA,6742869.0
2011-01-01,68.0,SEA,16122031.0
2011-01-01,69.0,SEA,1720577.0
2011-01-01,70.0,SEA,14401454.0
2011-01-01,75.0,SEA,8343937.0
2011-01-01,76.0,SEA,2387390.0
2011-01-01,79.0,SEA,5956547.0
2011-01-01,82.0,SEA,4785762.0
2011-01-01,83.0,SEA,29070153.0
2011-01-01,,SEA,
2011-01-01,87.0,SEA,718437.0
2011-01-01,88.0,SEA,31906303.0
2011-01-01,89.0,SEA,8198809.0
2011-01-01,90.0,SEA,76225738.0
2011-01-01,91.0,SEA,48575044.0
2011-01-01,92.0,SEA,173731757.0
2012-01-01,1.0,ATL,287570424.0
2012-01-01,2.0,ATL,260962774.0
2012-01-01,3.0,ATL,
2012-01-01,6.0,ATL,228417.0
2012-01-01,10.0,ATL,3582854.0
2012-01-01,11.0,ATL,
2012-01-01,12.0,ATL,24893756.0
2012-01-01,13.0,ATL,
2012-01-01,25.0,ATL,
